Topics,Helpers,Mentor,Question,text
,,dan-burns,What skills do you wish you had mastered before entering your profession?,so it's skills when I've lied to have mastered before my profession Naval Academy and so I learned a lot and we have four years of practicing at the summer cruises at the Naval Academy that was very important to help me get along I know that some of my other fellow officers they wish they had done more scuba to prepare for being a seal war to compare them to be **** aviators there was some time at the academy that would have been available to me to go the flying fault and pick up a private pilot's license well I didn't do that or so the ship driver and something like that there are flying skills if you can understand flying an aircraft and that would be important also because in this this Dave drones okay we're gonna be using drones in every aspect of naval warfare so if you can learn to pilot a drone and have that type of experience under your belt and know you'll be able to apply that and and we didn't have the I do not have that time the experience of technology available to be when I was growing up and and just starting in my profession 
,,dan-burns,What is one question you wished you asked earlier?,what is one question I would have asked earlier well I did ha I well that's not something I was never shy about asking questions and frankly I've been my model that was a CV in World War two and my older brother was a class of the five at the Naval Academy and while the old adage is never volunteer for anything in the military one thing I never found any hesitation I never had any hesitation about asking juniors are asking senior officers questions because a they want to buy you a beer now it is by your coffee okay what you want to go and ask a lot of questions because they have forgotten war I've got more than you have learned to date so if if anything we learn those letters I should go ask questions there's somebody out there they have made their mistakes we would like to pass that knowledge on to you and I would say do not be afraid to ask a question there are no dumb questions there literally are all questions because someone has done it and they don't want you to make a mistake in the future 
,,dan-burns,"As a leader, how much more will I know about the overall goals of the work I am doing?",so as a leader how much more are you going to know about the goals of what you're doing you are going to be for you're going to be in order of your ship of your summary of your squadron you're going to have access to a lot of classified materials and understand the mission and vision and that commanding officers and mortars so you'll have a lot of access to that information and then you've got a you've got to read you've got it to five hours you've got to understand it because other people have been asking you what are we doing today were re fuel okay Hey we we've got to get this water under way in in bar on the radio so a lot of that is going to be so a lot of those classified as of any ship movement is frankly classified information get goes by SO four two adage loose lips sink ships so you're gonna have a lot of access to information that is possible the end and then you have to remember to keep it classified and remember who you're talking to I remember that there are parts of the ship that our is skiffs secret compartment the information the facility okay combat okay and and very much so you know the engineers are not cleared for classified information it's outsiders all clear for information you as a leader have to make sure you remember who you talk to 
,,dan-burns,What was the most difficult part of your training?,was the most difficult part of my training so I I as a chief engineer I I chose engineering halfway form for my career there were things about that is it's very much hands on and you have to learn the hands on you have to see I had to see it we we had to do a lot of other ways of the gas turbine engines to see what the air flow walls is and how you can generate the powers of the gas turbine and how closely caster manager of all it's really cold here all the way out to look for power that moves the ship if you go from standing still two thirty two knots at flank speed over with thirty two knots about forty miles an hour and you can do that in order a minute with a guest or which you've got to keep all that information in your head and and how to do that the same thing could be applied through cyber attacks for the operations officer for the cryptologist how do you maintain if you've got to go ahead and see all 
,,dan-burns,"You are having a conflict in the first few days in your unit, Is that normal or no ?",so if you have a conflict in the first few days of the unit is that all of the other maybe remember that there there are two different fleets lance would be the Pacific Fleet so is it normal not particularly but could there be differences most definitely there are differences and when you go from one squadron two with all this water when you go from the training school to the actual the points water yeah this is gonna be a little bit of a difference day and that's were use officer junior or senior or mid grade officer you're just gonna get acclimated and that first couple of days and understand so one of these is that I would most of what it is okay when you have something to say well we didn't do it on our last ship that way that's true but you're not on your lashes your honor you should so you've got to adjust to the new ship and that's the thing expect the change expect there to be differences you've got the skills to go ahead and perform so remember for the most part all ships go all planes go for we'll go for so you might be tempted to think I didn't do that on my life ship you know only a lecture are you sure and that's the way you're gonna perform on a new ship gold for on the jury protect the nation and the mission 
,,dan-burns,How you can lead honorably?,how can you leave the artwork what that is how could you not leave honorably and one thing the capital right now is very divisive as the capital thank you for your ship such as water and soldiers over you need to leave our please the and the women that respond to your commands you will easy it is an old adage about yeah but each morning you look at the guy in the glass guy or the gal in the class you will yourself in the mirror can you say what can I do better this day okay are active on a third that will get you through your day yes the Wii tribulations of the trials we'll get through the day today you take short cuts with your honor and integrity it will catch up to sooner or later they will catch up to don't be tempted to all go to the dark side stay in the White they would have acted your honor integrity 
,,dan-burns,"What are some good resources to look at before starting (books, videos, classes)?",what are some good resources to look at Wall starting out this amount of which you've naval operations CNO has is recommended reading list secretary of defense I have not seen his reading list lately because the the secretary of defense is acting at this point but he will come out with his reading list and most of the animals in general the Commodore you know we'll have a reading this yeah read the okay general Patton war war to general Patton what he wanted to west point had he survived boards and then sent back there leave west point Carol I want everyone to study history history history if was not interested in engineering and that's that's very fascinated to hear from general Patton because he is the one that learned all his own how to move its and and and that was it technological innovation from war one to one or more to what's great never they also built around the tank you can learn the technique and yet he professes history read your history learn the art of warfare because with every new technological innovation you still have to have men and women behind that in addition to implement the strategy to implement the article or for that hasn't changed so study you wore for study your tactics study your procedures were in those 
,,dan-burns,What is critical to review when you start on a new ship?,so what is critical to review when you start a new two or on your show that when you walk up the brow it gets you new ship one thing that the commanding officer always at this is the standing orders yeah and before you're gonna be qualified as an officer that import or the also the deck under where the tactical action officer what age and also watch you're going to have to know the commanding officers standing orders this is vitally important because these are his one on one directions to you until you call me if this happens yeah the most the easiest thing but one thing demanding officer to the bridge yeah trust me reading officer will get to the bridge real quick when that war goes out over the one MC Hey because he knows and he will trust you if you have if you the Les Paul in the commanding also the bridge that's what happens in the game okay gotten trouble reading officer did not get to the bridge so the commanding officers standing order number one thing that you need to worry in fact if you're going to a new ship you might want to ask the exact you know can I get a copy of the committee also standing orders before you even get their day that shows that you're being aggressive you're leaning forward in the saddle and you want to see a standing orders now of the in addition to that each night under way all the commanding officers night waters and the night workers are equally important it lays down step by step okay when to call the captain for any situation okay if there's a contact bearing down on you what's known as C. BDR constant bearing decreasing rate you've got some unidentified contact coming down straight at you captain wants to know every commanding officer once said that when that situation happens there's a few other situations and they were gonna be refilling tomorrow morning so on the night watch we've got a figure out all the hoses on the port side and make sure that we're ready to receive lines in my ears you know probably at dark thirty in the morning the standing orders will waive those out so those are two things that you can be for familiarize yourself with the you and make you a better off you're going to have you come at 
,,dan-burns,Describe your ideal team.,ideal as a division officer first aboard the ship out the mission for the army has excel the captain ideals games is working with my chief petty officer future but it also in the past I had actually almost for sure I had a master chief petty officer or and he's out in the street so for me to establish a rapport style with a relationship with the chief petty officer and carry out the mission in white they're going to say it's I was an engineer and also the watch so I had to call for that so I had to use my experience my knowledge for training to get qualified as a dinner also watch the wall all the decks of the is very quiet on the stand that you can actually control rules and relied on my chief to make sure that I understood how all the technology works and howls personnel fit into our division our T. so also for part is to establish or for with your cheese and later on if the computer is also reflected that from here the call as a one off it's it's very simple to do that and it's very hello when and if that goes south it was in the south then you're not gonna be done we rely having to do everything yourself don't do that highly recommend that you do that I recommend that you sell shoes for cheap you'll have a great 
,,dan-burns,What things do you always make sure to lead by example on?,I was a junior officer how I lead by example was multiple ways for possibly getting out standing watches we have a wall on the way watches six eight hours at a shot it's going down and tracing the system understanding what the men and women are doing on the watch in the engineer holes and I would walk with that lot of five I would just fall thanks see what the mission was what is the messenger of the watch you that goal a call to all one should go down to ask you should hear dole Swofford off it was someone else a couple wash walls maybe build stand along the instead of the death see a lot of times to just go back to your state or a call the night before you can take one more hour without the the more attacks yeah as department head on over this is so for example of division officers but as the former head as chief engineer I was able once on the walk down live now that you know one of my many officers have been working on trying to solve the recall problem for about three hours he was down there all and want to solve this so we spent another two hours with so that meant he was there for five hours total while I was at the two hours the fireworks are very finally got it right got it figured out all we got that all the cells and pulling out of the expected files before that was supposed to deliver as a matter of getting the the right gaskets no right to voice all AT mad four one of the matter is that was on coming watch comes down points out if you've been in here I just spent two hours in for a day you know you is as she was white the fact that I have done a very much a part of the five I was very upset that the chief engineer with water around the space is a high school for two of the middle of that the man in the division a lot of the chief engineer took out the log were little better elsewhere but I took time out about see what your engineers to see with the post mates with them take time to walk around measured by walking around and be WA that will get you a lot of traction with your division 
