Topics,Helpers,Mentor,Question,text
,,hammen-eric-cdr,What is your name?,Eric Hammond.
,,hammen-eric-cdr,What year were you born?,I was born in 1974.
,,hammen-eric-cdr,How old are you now?,I am 45 years old.
,,hammen-eric-cdr,Where did you grow up?,"I grew up in a small town of Little Chute, Wisconsin, in the Fox Valley."
,,hammen-eric-cdr,Tell me about your childhood.,"my child was fairly normal. I had to immigrant parents. One who was from France and my father's family was from Holland. He and, uh, whose middle class He was a police officer my entire life where my mother was a translator in a welding company, Miller Electric. I have two older brothers, 10 years in about eight years, and they were pretty much out of the house by the time I was in my formative years. And so it was a pretty normal situation in a small town where I knew everybody and went to school with the same people from kindergarten to high school, which is actually one of the reasons which drew me to want to leave and explore and try something else in the military."
,,hammen-eric-cdr,Tell me about your family growing up.,"my family was unlike, uh, other families in the area. We had a mom and a dad who loved me very much and are still together, and it's still alive. They're both from different countries. So the only thing different that I had was maybe the food on her table. My brothers were typical older brothers. Nice to me when it benefited them, but mostly I was there bully or the one that they could take advantage of. They were a little bit older than I was. Um, eso I spent most of my time as an only child because they were either in college or out of the house. I had friends that I grew up with, um, pretty much my entire life, the same group of friends, but as far as my family, a lot of families from my father's side, um, there many cousins that I got Thio to play with and hang out with and go to different family events"
,,hammen-eric-cdr,"When you were a kid, what did you want to be when you grew up?","when I was a kid, the the thing that I remember mostly wanted to be was something that I think many, many kids may want to. But I wanted to be a game show host. Believe it or not, I wanted to be on TV. I wanted Thio make people laugh, and I could see that growing up in in the late seventies, early eighties, those were very popular. And so that is what I wanted to be when I grew up."
,,hammen-eric-cdr,What kind of student were you?,"I was not a very good student. Extracurricular and social activities were way more important. I did realize that if I applied myself, I could get good grades. And once I got those good grades, I knew I could do it and probably never did it again until I got to college."
,,hammen-eric-cdr,What was your home life like?,"my home life was was pretty normal. I was growing up in the late seventies, early eighties. I was a latchkey kid where my parents both worked and came home after in the evening where we did eat meals together when I was not doing different activities. Um, after school sports, different extracurriculars, but it was pretty normal. My parents are still intact and still are together to this day, and I actually still both alive."
,,hammen-eric-cdr,When did you start working with the Navy?,"I started working with the Navy in 1992 when I left my small town in Little Chute, Wisconsin. I wanted to get away and experience something different, and so that was my opportunity, and that's when I started working with the Navy."
,,hammen-eric-cdr,What is your current position now?,I currently serve as the deputy operations that op knobs on the chief of Navy Chaplains Office.
,,hammen-eric-cdr,What does a Chaplain do?,"a chaplain has four core capabilities, and that basically tells us what we do is we provide for people of our faith. We facilitate for others with different beliefs or no belief at all. We advise our commanding officers on different avenues with religion and morality and ethics, and also we care for all."
,,hammen-eric-cdr,What were your major leadership roles?,"my major leadership roles ultimately came down to is when I became ah, chaplain, and the first one I can think of is as as an instructor at the Chaplain School, I was the person that people would look thio in leadership roles. And that was precisely. My job is to mold and shape junior officers many times civilians with no military experience, or even people who had military experience both enlisted or as a former officer, and then to shape them and help them kind of around some of the rough edges what it's like to serve as an officer in the chaplain corps. The second major opportunity had in leadership was on L. A P. D. U S s San Antonio, where I was a department head of my chaplain department but also asked to lead and mentor a department executive, um, staff, where I had other swell officers under me. Various rates, administrative rates, PMS, y ends and such. Where I had a different role, um, or traditional leadership style where I got to help shape the evil and fit rep process within that avenue"
,,hammen-eric-cdr,How do you spend most of your time at work?,"currently in my role right now in a leadership position as a commander at the Pentagon, which is very rank heavy. I still have those opportunities to both a lead by example and be a mentor and coach on the side and help share my experiences of what brought me to my position from the illicit ranks now to the senior officer ranks so that it's more of a one on one situation, an opportunity that I get to pour myself into their lives."
,,hammen-eric-cdr,Describe the work you did on a typical day.,"the work I do on a typical day currently now is one of administrative. We have an opportunity in the chaplain corps to shape strategic thinking and how we are going to do ministry in the future, maybe 10 years, 15 years down the road. So it's my privilege to get that chance to write training, to meet those requirements again, opportunity to share that to the fleet and present those opportunities and pushing leadership down to them so they have that chance and opportunity to lead from their echelon and their point of contact."
,,hammen-eric-cdr,Describe the work you did on a typical day as a department head.,"so as the department had your your day never really ends and you wake up and you're making sure that your people are taken care of, that they have all the material that they need to accomplish the task that you may have given them. But I think it goes beyond that. I think it goes on to the fact where you want to find out more about those individuals, that you want to see, what makes them tick and maybe some things that are stopping them from accomplishing the goals that they have. Because ultimately, as department, you're responsible for the divisions under you and all the personnel, and we want to have the same mission accomplished. We all want to meet the commander's intent and his priorities or her priorities. And so we are really the stopper and the gap in the filter from the higher ups and were pushing information down. But we're also taking information from the junior sailors and pushing it up to the chain of command"
,,hammen-eric-cdr,Describe the physical environments in which you've worked.,"some of the physical environments in which I worked at, um can be anywhere from an administrative office type environment. Thio. One of that would be a field environment with Second Marine Aircraft Wing, where your commands are spread out and you have to put boots on the ground and to visit your people and to take care of your commanders all the way to special forces, where you have a much more relaxed environment but still just as professional as any of the others. And to a ship where everybody is contained on one vessel and they can't go anywhere, so tracking them down is much easier."
,,hammen-eric-cdr,How many hours do you work in a typical week?,"The beautiful thing about the Navy is we get, we get, we don't get paid way, don't get paid by the hour. We get paid a salary, which means that we're always on the clock. Things are always happening. Life happens. Um, and so we work. Depends if you're underway. You have seven day work days with maybe an opportunity for, ah break on Sunday, or maybe a separate day when missions are not happening. Um, to when you're back from deployment, when you have an opportunity to thio, recharge your batteries and to spend time with family and to get an opportunity to, um, maybe have half days where you can take care of things that need to be done either personally or professionally."
,,hammen-eric-cdr,How much does the hours you work in a typical week change as you take on a leadership role?,"as a leader. The hours do change because now you have an added responsibility. So you have no responsibility to, in my opinion, be the first one there and and the last one to leave. There's rare occasions where you wanna push some leadership down to train the next level of petty officers or junior officers to meet that level, where you give them more responsibility on time management. But really, it comes down to your always on. You're always on watch. You're always on duty because your your business is to take care of people the most important weapon system the Navy has."
,,hammen-eric-cdr,What kinds of decisions do you make in your career on a daily basis?,"as leader. You make all sorts of decisions from approving someone's leave or special liberty, which could be done very quickly. And at a quick glance to something where you're you're dealing with an individual's career, whether it's positive they're applying for a specific program or a transfer or even negative decisions that are gonna affect someone's livelihood. Um, even coming down to something that's gonna happen, possibly to their family."
,,hammen-eric-cdr,What kinds of problems do you deal with?,"well as a chaplain and as a leader. We deal with all different sorts of problems. We get personal problems where individuals come because they're having ah, situation at home that you're dealing with maybe with a loved one or ah, child to professional problems that they're trying to possibly trying t gain the next rank or for promotion and trying to figure out the formula on what the best way to do that. Sometimes there's interpersonal relationship problems within the command that they're dealing with. The personality, that is, that is another peer that they're they're serving with might be one that they're struggling with and the conflict Israel and it's affecting your work. So it really comes down to the gamut of the individual individuals are serving underneath you."
,,hammen-eric-cdr,What is a story that really shows what it is like working in your job?,"you know, a typical story or thing that would happen in my job as a leader. I remember helping ah, young sailor who was having some issues with his specific leader in his division. Um, I got an opportunity to walk through some leadership aspects of what it takes, um, to serve under many different personalities. But get an opportunity to, uh, correctly go through his chain of command, walk him through that, um, together and almost be a mitigator between those two individuals where it ended up working out that it was miscommunication. When both people were on the same page. They got along great and no careers were hurt or suffered, and things got were able to be accomplished and got done."
,,hammen-eric-cdr,What are the major benefits of doing this kind of work?,"the major benefits of doing work is a job on his first. To me, it's not a job is something I love to dio. I get to deal with the Navy's most precious weapons system, which deals with people without people operating that the ships and the aircraft and taking care of, um, those hard pieces of gear without people. Without them being resilience and be able to accomplish those tasks, the Navy would be nothing. So the joy I get the most out of is really coming alongside people caring for them, loving on them, making sure that they're taking care of and helping them solve the problems."
,,hammen-eric-cdr,What are the major negatives of doing this kind of work?,"One of the major negatives of Chaplin and as a leader is the fact that we're in a in a place where we're full of humans. So there's error everywhere. There's, there's sadness, there's disappointment. There is opportunities to enter into people's lives where you see the struggles that they have to go through the different circumstances that they have to overcome and and sometimes it could be very negative, and it could be harmful to both them, to their shipmates, to their family, and that's probably the most difficult part."
,,hammen-eric-cdr,How much travel do you do in a year?,"amount of travel. I do really depend on the job I I held currently right now working at the Pentagon. I get an opportunity to travel to different training sites, maybe three or four times a year to do the training. But previously on a ship. Obviously the travel is is done by deployment where you get the opportunity to visit other countries. And also, when I was with naval special warfare that travels a little bit more robust because I had to go to different sites where they were training, and then as a deployed to bounce around those operating areas."
,,hammen-eric-cdr,Why do you love your job?,"one thing I really love about my job is taking care of people, um, finding someone coming to me for, ah question or, ah, problem or a situation that they're in and be able to sit down with them and walk them through and and a lot of times allowing them thio figure out their own answer and watching the light bulb go on and them taking that advice or that guidance that sometimes they've given them themselves and watching them succeed or conquer the thing that they came in the first place to talk to me about."
,,hammen-eric-cdr,What gets romanticized about your career field that really isn't that great?,"I think one thing that gets romanticized about my career field as a chaplain is that, well, one thing is that all we do is work on Sunday way. Just we get up in front of people. We walk around the spaces and and pass out candy and and where the nice guy everywhere we go. But in reality, um, it's much more than that because we're meeting people where they are. We're doing life with our our congregants, so to speak. So when bad things happen, we're in the midst of it. When good things happens, we get to share. But most most of the time, just as in human kind and has a Z, People go, we go also."
