Topics,Helpers,Mentor,Question,text
,,jd_thomas,What is your name?,Jeremy D. Thomas but everyone calls me JD 
,,jd_thomas,What year were you born?,was born in nineteen eighty six 
,,jd_thomas,How old are you now?,I'm thirty two years 
,,jd_thomas,Where did you grow up?,I was raised in a small town called helps above Georgia 
,,jd_thomas,Tell me about your childhood.,%HESITATION was raised by my two parents %HESITATION John and then it and %HESITATION I'm the second of three boys %HESITATION I consider myself a part of an all American you know family %HESITATION we all played football we ate dinner every night together my mom always cook my dad was a factory worker my mom's a nurse so it's kind of the all American key it from the rural south 
,,jd_thomas,Tell me about your family growing up.,all right %HESITATION my parents John and then it were %HESITATION high school sweethearts %HESITATION so they've been together for about forty years now %HESITATION I've got two brothers on the middle of the middle of the song %HESITATION older brother Marcus he's actually in the navy %HESITATION it was recently promoted to commander I was in the supply corps %HESITATION my younger brother Michael he's %HESITATION a field engineer at a nuclear plant %HESITATION I am my brothers merry a motor brother Marcus is married to his wife Ashley and they have two children %HESITATION all one expect is making one they have one now Marley she's %HESITATION should be two next 
,,jd_thomas,"When you were a kid, what did you want to be when you grew up?",%HESITATION when I was a kid %HESITATION there was like a %HESITATION just us want to be something there that impacted someone in a positive way of course you know being from the south to you %HESITATION the big thing is playing football so %HESITATION it was always %HESITATION important to me that you know impressed my family in France by being a star athlete so I want to be a a linebacker for the Atlanta Falcons or the ravens you know I am related %HESITATION ray Lewis a lot %HESITATION outside of that are I'm just kind of want to be a country kid you know enjoy working on cars and fission and stuff like that so whatever that I could do that I enjoy helping people it was going to make me some money and doing it to take care of my family you know just that was happy with that as long as I got to go home to my home at the end of the day and you know work all colors and go fishing with my family and that was about it 
,,jd_thomas,What kind of student were you?,%HESITATION owl in grade school I would probably say the %HESITATION was more studious %HESITATION I was always into the books I love reading a lot of writing %HESITATION love math and science I just enjoyed learning as I got older %HESITATION the more I got into sports and the more I got into girls the less focused on school of school came come easy to me in high school of so I can't remember too often like taking home a book because it came so naturally to me you know I think my parents and %HESITATION helped me develop that foundation of you know like being a quick learner and high school I didn't have to study so much %HESITATION college was kind of the same %HESITATION %HESITATION kind of fell you know fell in heart with the women and sports and less on studies so %HESITATION I really didn't focus my %HESITATION year college until my senior year %HESITATION which I was challenged by my mother so outside of that up until now you know it's kind of us come take a turn to be more focused you know you know as a %HESITATION students to apply them the things that I learned in school so no that's kind of how I describe myself as a student 
,,jd_thomas,What was your home life like?,%HESITATION home life was amazing %HESITATION of course of course like any any family you know my family went through some rough patches you know we have some %HESITATION deaths in the family that there because like a huge ripple effect you know throughout %HESITATION but at the same time we were family so you know we stuck together and %HESITATION just kinda rode the wave out %HESITATION but it my childhood was awesome %HESITATION my adolescence peered was also you know my adult life was awesome %HESITATION every you know trial and tribulation that you go through he just kind of look at as a learning experience and how to get better better so I I have nothing but great memories and you know positive things to say about the people that I grew up around in the people that you know I had the experience to come in contact with because every every once served as a a life lesson I learned a lesson you know something that I could have some deposit I could've taken from that period of time growing up and apply it to now to some more so in one word it was also 
,,jd_thomas,When did you start working with the Navy?,our store working with the navy in two thousand nine after I graduated from Georgia southern %HESITATION I applied to %HESITATION also can screw OCS about three times over the course of the year and a half and it didn't work out %HESITATION was turned down these time so %HESITATION I remember being you know fed up with the process so and I'm very stubborn so I didn't I wouldn't take no for an answer so I listed as a non Disney their men and two thousand eleven and I've been running with the navy ever since 
,,jd_thomas,Are you currently serving in the military?,yes I am %HESITATION currently active duty as a lieutenant in the United States 
,,jd_thomas,What is your current position now?,I'm currently a student at the naval postgraduate school 
