Topics,Helpers,Mentor,Question,text
,,leadership_anderson-clint_cpo,What makes a good leader?,"a statement that you hear over and over as you become a leader in the Navy is you have to know your people. I think that that's, ah, great quality to have. But you also have to pair it with listening. You have to listen to your people. So I I know that there are many leaders, um that have people come in. And then the leader just yelled at them and screams of them and says, You should do this and you should do that and then seems the way. So, um, there's a time for that. But for the most part, everyone has some kind of story. Nobody's out there trying to be evil. No one is out there trying to do the wrong thing for for the most part. So listen to their story, Um, and also be empathetic. So even if they were wrong, you should know, especially if they're young sailors. They didn't grow up the same way that you did. Um, yes, of course they can be treat out, but it's more important for them to understand why you're telling them to to do things a certain way and to get them on board What you don't want to do is instruct them. They know the right way, but then they leave, not wanting to do the right way. You have to make sure that your words come out so that hey, you know what? We're a team. You did it wrong. You understand that? You did it wrong. You're gonna be a leader for other people. So you have to do it this right way and you have to go. You have tow, have them leave saying you know what? Um, he was right. And let's do it the right way from now on."
,,leadership_anderson-clint_cpo,What are the most important first steps in a new leadership position?,"I'll go with the second most important step, which is to know the material, to understand what it is you're talking about. And you might ask Well, how can that be? Number two on the list? Uh, the first thing that you, uh, that supersedes that is to know who to ask and where to get your material from. You don't have to memorize things. Uh, there's so many instructions, so many things that change on a day to day basis, it would be impossible. You make yourself go crazy, but you have tow have your google at your side. Um, it's not Google, but you have to know where to get things from. So down in, um, I t you have to know the person to talk to going to this website, you know, that's where the instruction is. As long as you have those materials. Uh, then you can focus on other things like memorizing things and, um, putting, putting it out"
,,leadership_anderson-clint_cpo,How do you set the tone as a leader? What is the right tone?,"there are many tones that you can have when your leader, um, they range from being very, very direct. Especially if you're out there, you know, huge strong person, um, able to lead, lead the pack. Um, if that's not the style of the style that you were brought up in as when you were growing up, that you might want to take more of, ah, friendlier turn a friendlier, friendlier tone. So, for instance, um, people can come to you and you work through problems together. Um, it depends on the type of person that you are. But in any case, everyone has understand that you're on the same team. So with that in mind, when they come to you, whether they know that you're gonna be stern and strict and maybe have a few, um, strong words in there or if you're nice and sweet and kind, uh, they have to know that you know what? Like they're gonna give you a high five at the end of the day and say Yes, sir. Yes, ma'am, I'll go do it"
,,leadership_anderson-clint_cpo,"What are the most common mistakes you've seen new leaders make? (e.g., skipping steps)","the most common mistake that I see new leaders make deals with them, providing information that they're not sure of themselves. As a chief, you always have toe think Well, you know what? I have the answers. I know the answers. And that's not 100% accurate. Yes, I am the person with the answers. But the more important question is where I get those answers from the reason that I have all the answers is because I have ah crew of people behind me that can back me up that have the answers throughout all of the people. And, um what first classes? The problem that I've seen in upcoming 1st and 2nd class is is thinking that they are the ones that that the information comes from themselves. And in that case you probably get some wrong answers. Um, depending on what they're saying. So, for instance, um, you're talking about an award. Oh, well, this award needs needs this and that. And you don't you don't need it. You don't need that block filled out. Well, some of those things could be wrong, but because they're under such stress toe actually provide an answer. They provide some answer the difference between new answers and, for instance, Chiefs. The chief will say, You're supposed to felt this block this block. It's supposed to be filled out like this. This block. Hold on, I'll get back to you And that's the difference between a strong and a week later."
,,leadership_anderson-clint_cpo,"What problems need to be rooted out early, or you'll have trouble fixing them later?","whenever you work with a team. First of all, you have to know your team. And once you know how they interact with each other, uh, you're bound to find some kind of dissension among these peoples. Um, they have lots of time together outside of work. Um, they might see each other at bars. Some of them might be dating other people that might have family problems. And those small problems can actually filter in into the unit now. Generally, there's not so much of a problem with that. That's how come you have, like people high fiving and people joking around and people like, uh, tapping each other. You want that kind of familial bond? But, um, if there is a problem, for instance, like, let's say, two people are dating and then they break up, then they're not gonna wanna work with each other or they're gonna work with each other bad. And for the most part, uh, it tends to go away. But if you don't take care of it, it can grow to be really, really, really big problem. Um, people's lives on the line. And if you have somebody that doesn't want to go down and check on someone when they're supposed to, or if you have someone that says like, hey, argument with this personal yesterday and I'm going to give him a bad recommendation, things like that that could get really, uh, out of hand pretty fast."
,,leadership_anderson-clint_cpo,How do I balance being close with my team versus fraternizing?,"there's this quote by Sun suu. I don't recall exactly the words, but the meaning of it really got to me. Uh, it went along. Lines of this, uh, the leaders that are most beloved are the ones that just, like, tell anybody everything, uh, next is most feared, uh, next to the ones who like, um, are really prized among everyone, but the ones who they're most effective are the invisible ones. It basically went like that. So I think that the mawr invisible you are as a leader. Um, even though you are controlling things from behind the scenes, uh, more credit that you give him, the better he'll respect you and you'll see it, um, devolved into the group. Ah, lot more if they take more responsibility of their actions. Um, even though they have a lot to learn and you are teaching them a lot, um, you don't want that to filter down to the crew. So, for instance, um, my first class would come into my office say, Hey, this needs to be on. I give him the exact instructions so that he can't fail. Then he goes out, and he described it to the crew. Now, little do the crew new do the little Does the crew know that I'm the one who actually explained things to him. But he was my, um my go to go through guy. And he's, um that's the way that you are supposed to handle leadership by passing it down through the ranks."
,,leadership_anderson-clint_cpo,How much leadership should you take charge of versus letting your senior petty officer lead?,"there is a strong line that you need to draw between, um, your friends and your co workers and especially your co workers and your subordinates. Um, it can't be crossed over. They generally say that once you become a chief, all of the friends that you had, you know, if they were in your corner and if they were going to bat for you, then they'll understand the distinction that has to be drawn once you become a chief and they're not gonna treat you the same way that they did before. So you used to go toe clubbing or bars or joking around about the latest people on board this ship. All of that stops completely. So in that case, once you turn that switch off, how do you turn it back on? All the people have toe develop a new type of respect for you. Uh, it generally comes from the fact that you're very knowledgeable about your your subject. That's why you're promoted in the first place. And the second part has to do with the fact that you're caring for them. You know you're caring for them as a team member and that you're looking out for their safety. With those two pieces in mind, um, the balance will actually, um, come as a side point. Um, whenever they become the the same leadership position is useful. For instance, off. You know, third class petty officers become first class petty officers, first class, first class. Petty Officer has become chiefs and chiefs. Maybe they become officers. Once those huge balance or jumped, then you're able toe like I have the same communion, but, um, you definitely need to make that distinction."
,,leadership_anderson-clint_cpo,What are the main things that a new leader must learn and adjust to?,"The main thing that you have to learn as a new leader is the type of responsibility that you have versus what you used to have. So, for instance, um, working with your hands cleaning the Cellini to sell your expected to go out there and then twist it off and drink it off and put the new one in. And, um, as a leader, you have to get that same job done without actually doing it. It's kind of weird, I know, but your role is to tell someone else to do it. And I've seen a lot of leaders have that problem, especially people that that have the new position. So a second class becomes the first class. I'd actually have to go down there and tell them. Hey, you know what? Get off that pipe. Get off. That's Lenny to sell. Um, you have three other people here. They're not gonna learn by you actually doing it. We know that you can do it. You've done it thousands of times. Now it's your time to put the wrench in that person's hand and watch him do it. Um and then, yeah, after, after about a year or two, they finally get on board with that. And that's how you become the next rank. After"
,,leadership_anderson-clint_cpo,How have your priorities changed as your career progresses?,"my priorities changed a lot. Um, since I first joined the Navy when I first got in, I was always thinking about Well, how much am I going to get for school? Okay, put that inside. How much of my saving up for my time after the Navy. Um, if I were to join the Navy Reserve, put that off to the side. What kind of certifications can I can I get? What kind of training can I get that goes on my record that I can have for later on later on, You kind of realize you don't realize it's actually like training on you. And, um generally, most chiefs feel this way. All the things and all the activities that I've done are kind of they're not meaningless, but their second fiddle thio the type of work or the type of things that I could give to my sailors. So for me, my e is whenever somebody gets promoted, um, second to that is whenever anyone gets an award and although that's not necessarily on my record, I do get, you know, some kind of credit for that. Um, I just feel like it's more important kind of like handing down the torch to someone else, and I think that's that's one of the best things that you can have as you grew up in leadership."
,,leadership_anderson-clint_cpo,What does it take to really make a change in a team?,"If you wanna make a change in the team, you have to be very clear and very organized. What do I mean by that? Let's say you have Ah, unit. Who? They're not really working there full day, you know? You tell them. Hey, you know, I'll go out and, like, fix all this equipment and then, you know, half the day is over, and then they come back with only one thing changed or two things changed when it should have been the whole things. How do you change that? Well, number one, you have to be very, very clear. Um, these are the leaders, and those three leaders are affecting thes five people. The place that I've been where that hasn't been, the case was very disorganized, and no one knew exactly what they were supposed to be doing. Another thing about being very clear. Hey, these are the rules that expect you to do You have a white board, you label number 123 claiming cellini cells change the pump, fixed the valve, and then you check on those things. Hey, was this done? It is done. Green check. Mark, Wait for the next thing um, yeah. So being being clear and organized are the things that I e I think make the biggest change. Uh, when it change needs to happen."
,,leadership_anderson-clint_cpo,How has your view of this line of work changed over time?,"for me. It was really confusing when I joined. I didn't know anything about engineering or electron ICS. When I first came in, it took me the longest time to figure out what a ground was. Everyone kept saying it was the Earth that it was like dirt. You know, I didn't understand how it like, uh, match with electrical work. Um, a couple years in after hearing the same things over and over and over, you start to get good at it a couple years after that. Then you start to become a master at it. Um, a few years after that, then you're in the position that you can actually teach. It s so it's got gotten easier the longer that I've been in, just like with any other job."
,,leadership_anderson-clint_cpo,What priorities would you recommend for a person entering this field?,"if you're going to join any branch of service. One of the things you need to learn how to do if you're not on board yet is learn how to listen to people you're gonna be getting a lot of directions on your career is not gonna go very far If you can't follow them from the simple to the complex. You know it's gonna be coming at you all the time every single day, several times a day. The way that I prepared for myself, um, for coming into the nuclear power school actually started training. Um, I took a conceptual physics course and I took algebra, and that helped me through the school. Later on, um, after going through my initial school thing, I found out that, like, uh, even though there are schools available most of the time, you have to actually train yourself. So learning how to read is another big thing that you have to know. Um, if you haven't been a big reader before, especially in high school or middle school, um, that's gonna change if you're gonna be promoted. Um, of course, there are lots of opportunities and lots of training, but the ones I see succeed the most are the ones who actually can pick up a book on their off time and kind of teach themselves."
