Topics,Helpers,Mentor,Question,text
,,leadership_twitty-shellaree_scpo,"What problems need to be rooted out early, or you'll have trouble fixing them later?","problems. Ah, problem that needs to be fixed early. Um, that you may not be able to fix later is micromanaging. And one of the reasons why is because when you are micromanaging, you don't give the sailor or the person enough time to thio. You don't empower them enough to do the job themselves. They'll just figure, you know, Well, you're telling me what to do, so I'll just do it your way, and they're not ableto think outside the box and do it themselves."
,,leadership_twitty-shellaree_scpo,Why is it not easy to have integrity sometimes?,"It's hard to have integrity sometimes because it's uncomfortable. It's uncomfortable, uncomfortable for people to, um, I want, you know, Thio either listen to the truth or even hear their truth and sometimes speak their truth. And that's why it's uncomfortable to have integrity sometimes."
,,leadership_twitty-shellaree_scpo,When did your father die?,"My father died when I was five years old. Um, in 1971 he was working at a gas station and he was shot in the back of his head, killed instantly."
,,leadership_twitty-shellaree_scpo,"How do I build trust between different team members? (e.g., new ones, ones with bad interactions)","if I had to. Team members that didn't have trust, you know, for each other. In the beginning, um, I would have them sit and have a conversation, maybe with somebody in the room with them. Um, ask each other different questions. Maybe that has nothing to do with the team. Um, maybe personal questions. What's your favorite color? What's your favorite number? Um, why did you join the Navy? Um, sometimes when you have a trust or distrust with each other, it's because you don't know each other. You don't know each other story, and and it's it's important to connect that way, and that will help build trust."
,,leadership_twitty-shellaree_scpo,What are good strategies to have the right kind of presence with my team?,"mhm some good strategies To have the right kind of presence with my team is always communication. Um, setting the example in the beginning, um, setting the expectations also in the beginning."
,,leadership_twitty-shellaree_scpo,How do you and your work colleagues socialize outside of work?,"outside of work. My colleagues and I, we socialized by, um, going to movies. Uh, roller skating. Um, that's one of my favorite things to do, and then just maybe going toe lunch and sitting down just having a conversation."
,,leadership_twitty-shellaree_scpo,How should your relationship be with your subordinates? (close vs. far),"my relationship with subordinates should be close within reason or within, um, different parameters. I guess being close to me means, uh, getting to know your sailors on a close level or a personal level. I believe you get more out of them when you know them personally or closely. So being close to your subordinates is important."
,,leadership_twitty-shellaree_scpo,"How do I help my team prepare for a tough mission? (e.g., inspection, long mission)","Yeah, I prepare my team in the beginning for arduous mission or a tough mission by first setting the tone, setting the expectation, um, explaining to them what's getting ready to happen, you know, getting their feedback of you know, what they can do, how we can do it, how we can get to the to the end goal. But in the beginning, it they have to know what's going on. So setting the expectation, having the conversation."
,,leadership_twitty-shellaree_scpo,What kinds of people respond better to certain leadership strategies?,"using different types of leadership strategies on different types of people. For example, a sailor who has been in, uh, this organization for a very long time. Uh, one of the leadership strategies I would uses or even speak about would be for him to he or she to be open minded, open minded for growth or toe. Learn something new. Um, And then my sailor who comes in that is, uh, brand new, uh, fresh out of boot camp. Motivated, uh, I think hit a different leadership strategy for him. Or he or she would be to, uh, tell him what I need, Thio. What needs to happen and allow them to either share their experiences so that they can feel part of the team. So two different types of leadership style, you have to meet the person where they're at in there journey in this organization."
,,leadership_twitty-shellaree_scpo,What is something you think is important for both junior and senior Navy leaders to know?,"something that I think is very important for junior and senior leaders to know, um is the chain of command. It is so important to follow the chain of command. It starts with, uh, the junior sailors knowing their position and the senior sailors also knowing their position. When we do this, we are following the order. Um, and in boot camp, the first thing we learn is how to follow orders and thio to learn how thio follow the chain of command. And it starts with first acknowledging that there has been a order. Secondly, moving it up the chain, Um, that way, when it gets to the top, the top leaders sailors, um, they make the decision and then it can come back down. If you are overstepping your bounds or overstepping the chain of command, then there's a break in that chain. When when you look at it or when you think about it, you think of it just like a chain. Um, there are links to the chain, and the strongest link is at the top. But if you mess up the ones in the middle, then the chain is broken, so it's very important to utilize the chain of command"
